MUSCLE;SOIL
0.0080143663417137;12
0.00766164316966456;6
0.00657718120805369;8
0.00516094420600858;10
0.00709167544783983;14
0.00693199789140749;25
0.00477666841828692;16
0.00630434782608696;0
0.0072528564331843;30
0.00525896414342629;12
0.00497940267765191;15
0.0076941514860978;27
0.00790584415584416;21
0.00613296398891967;0
0.00742454728370222;17
0.00616207090602138;18
0.00611995753715499;0
0.00641298833079655;16
0.00736146415861719;10
0.00465977136635819;0
0.00645468998410175;5
0.00646680942184154;9
0.00660659114315139;6
0.00686840644086619;26
0.00645484949832776;10
0.00629668595476065;0
0.00755854800936768;9
0.00807752750130959;13
